cell_type	replicate	cell	vae_2	nmf_6	cell_class
TCELLA7	11	TCELLA7_11	9.906818179309816	190.56759677673233	Differentiated T Cell
TCELLA7	3	TCELLA7_3	15.496450740261691	271.9286444016518	Differentiated T Cell
TCELLA7	5	TCELLA7_5	16.8714770871918	268.24602032511575	Differentiated T Cell
TCELLA7	6	TCELLA7_6	15.263066376721891	270.70688395705093	Differentiated T Cell
TCELLA7	7	TCELLA7_7	16.692743227495466	254.38149435421855	Differentiated T Cell
TCELLA7	8	TCELLA7_8	16.188408696999655	270.4616399658233	Differentiated T Cell
TCELLA8	10	TCELLA8_10	12.017669715870735	246.82520232276903	Differentiated T Cell
TCELLA8	11	TCELLA8_11	9.808693519573147	202.0633056356062	Differentiated T Cell
TCELLA8	3	TCELLA8_3	15.745822371494079	265.0213291845378	Differentiated T Cell
TCELLA8	5	TCELLA8_5	14.458310834563585	277.4959679208488	Differentiated T Cell
TCELLA8	6	TCELLA8_6	13.677325602362863	259.215875489183	Differentiated T Cell
TCELLA8	7	TCELLA8_7	15.760525120394053	264.74512152005576	Differentiated T Cell
TCELLA8	8	TCELLA8_8	16.219637618632294	268.19575812017524	Differentiated T Cell
